market,short,long,atr,return_pct,win_rate,sharpe,max_dd,trades,avg_win,avg_loss
상승장,5,20,0.0,-45.59642620009126,30.0,-3.074804874222653,49.43627430358769,30,9.089863915714913,-6.284388359021567
상승장,5,20,0.01,-45.59642620009126,30.0,-3.074804874222653,49.43627430358769,30,9.089863915714913,-6.284388359021567
상승장,5,20,0.02,-6.557484664204728,43.75,0.17249275988679408,30.652869153141943,16,10.555234902755327,-7.9954821824002344
상승장,5,20,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,5,30,0.0,-44.75529818636754,20.0,-4.744586752967525,51.660125321747344,25,9.859369015705886,-5.10994028079877
상승장,5,30,0.01,-44.75529818636754,20.0,-4.744586752967525,51.660125321747344,25,9.859369015705886,-5.10994028079877
상승장,5,30,0.02,-15.659722590856278,30.76923076923077,-1.4698227997077369,27.455059319978986,13,12.119120855090674,-6.673682239086232
상승장,5,30,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,5,37,0.0,-50.69263206864196,25.0,-5.707111439619007,55.480036413061974,24,7.834448716770184,-6.151097291651693
상승장,5,37,0.01,-50.69263206864196,25.0,-5.707111439619007,55.480036413061974,24,7.834448716770184,-6.151097291651693
상승장,5,37,0.02,-10.55499438102838,36.36363636363637,-1.2297253831237314,24.42090463896332,11,9.618481712130137,-6.5577350956420295
상승장,5,37,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,5,50,0.0,-42.506754647735754,16.666666666666664,-4.777986547086116,45.869587322584835,18,14.908814556776742,-6.189372006444391
상승장,5,50,0.01,-42.506754647735754,16.666666666666664,-4.777986547086116,45.869587322584835,18,14.908814556776742,-6.189372006444391
상승장,5,50,0.02,-33.00971004898215,25.0,-3.587277420572088,44.00214101866081,12,14.908814556776742,-8.516801085356668
상승장,5,50,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,5,100,0.0,-40.97769454363786,25.0,-9.13414939540452,41.34288026916244,12,5.027660088611268,-7.101811313408428
상승장,5,100,0.01,-40.97769454363786,25.0,-9.13414939540452,41.34288026916244,12,5.027660088611268,-7.101811313408428
상승장,5,100,0.02,-33.332588616094085,30.0,-7.984965342970446,33.7450765188765,10,5.027660088611268,-7.48023154084117
상승장,5,100,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,7,20,0.0,-44.80828341501712,20.689655172413794,-2.9319637703819077,51.78987398432,29,12.246471676410335,-5.296110152780482
상승장,7,20,0.01,-44.80828341501712,20.689655172413794,-2.9319637703819077,51.78987398432,29,12.246471676410335,-5.296110152780482
상승장,7,20,0.02,-25.46702212760927,20.0,-2.9627276738393324,26.395104675083108,15,13.088575024312368,-5.2835199836005255
상승장,7,20,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,7,30,0.0,-52.737384770275696,25.0,-5.677585859861773,58.62532045481076,24,8.292278048960448,-6.485328801929899
상승장,7,30,0.01,-52.737384770275696,25.0,-5.677585859861773,58.62532045481076,24,8.292278048960448,-6.485328801929899
상승장,7,30,0.02,-32.429855812488135,25.0,-4.428207305476823,42.2981411027032,12,12.599165774626222,-7.90448032554589
상승장,7,30,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,7,37,0.0,-63.7590739675359,23.809523809523807,-9.466746418596255,65.46933893288477,21,7.353551521754045,-8.145825327253736
상승장,7,37,0.01,-63.7590739675359,23.809523809523807,-9.466746418596255,65.46933893288477,21,7.353551521754045,-8.145825327253736
상승장,7,37,0.02,-37.36859027092855,27.27272727272727,-8.154890670627053,37.36859027092855,11,7.321349404019415,-8.112482913161067
상승장,7,37,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,7,50,0.0,-46.68740842103062,21.428571428571427,-5.944969447862228,50.02640954894863,14,12.80458460690699,-8.478554544244705
상승장,7,50,0.01,-46.68740842103062,21.428571428571427,-5.944969447862228,50.02640954894863,14,12.80458460690699,-8.478554544244705
상승장,7,50,0.02,-40.312332286774904,30.0,-5.063713523569675,49.51003458649253,10,12.80458460690699,-11.571897943802336
상승장,7,50,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,7,100,0.0,-46.27426441724762,18.181818181818183,-9.663306438394013,49.46977641867267,11,9.401778196422512,-8.3948490957753
상승장,7,100,0.01,-46.27426441724762,18.181818181818183,-9.663306438394013,49.46977641867267,11,9.401778196422512,-8.3948490957753
상승장,7,100,0.02,-38.59698411392794,22.22222222222222,-8.699571907621692,42.24912720809578,9,8.45834070441757,-8.726039447989223
상승장,7,100,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,10,20,0.0,-58.233292138998095,25.925925925925924,-6.1757462673139285,58.48096220737078,27,6.86542545580142,-6.340143934715785
상승장,10,20,0.01,-58.233292138998095,25.925925925925924,-6.1757462673139285,58.48096220737078,27,6.86542545580142,-6.340143934715785
상승장,10,20,0.02,-27.193193051892777,27.27272727272727,-4.2248884074203445,34.83748466129558,11,10.265433546776316,-7.237370674391405
상승장,10,20,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
